Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    1 0xffffff7f82430000 0x15000    0x15000    com.apple.driver.AppleUSBTDM (489.101.1) 9CFDC757-F961-357E-BACF-E687C4FC8017 <35 30 29 28 27 21 8 7 6 5 3 1>
   37    0 0xffffff7f82fdf000 0x7e000    0x7e000    com.apple.driver.AppleKeyStore (2) 321236DC-E5C7-3CEB-8780-289AF69FB1E1 <36 34 33 32 31 21 20 10 8 7 6 5 3 1>
   38    2 0xffffff7f81ba4000 0xc000     0xc000     com.apple.driver.AppleEffaceableStorage (1.0) 4C3D892C-12F7-344D-AD97-FF3C154B54D8 <8 6 5 3 1>
   39    0 0xffffff7f830c2000 0xc000     0xc000     com.apple.driver.AppleFDEKeyStore (28.30) 8063E33E-AD4C-37D7-B0DE-D744474CC3D5 <38 10 8 7 6 5 3 1>
   40    0 0xffffff7f83158000 0x33000    0x33000    com.apple.driver.AppleIntelCPUPowerManagement (222.0.0) 26061535-11D1-3F9A-AE00-54B47B5D2607 <8 7 6 5 3 1>
   41    0 0xffffff7f83569000 0x19000    0x19000    com.apple.driver.DiskImages (493.0.0) 5522DE3D-D1A1-3AE1-AAD8-84FC123837DF <28 8 7 6 5 3 1>
   42    6 0xffffff7f8497a000 0x29000    0x29000    as.vit9696.Lilu (1.4.3) 09509306-C633-3ADC-B6F7-9765E385DBE9 <8 6 5 3 2 1>
   43    0 0xffffff7f849c5000 0x6e000    0x6e000    as.vit9696.WhateverGreen (1.3.8) 536037EF-804C-3F00-9FC5-1A9397E24D38 <42 13 8 6 5 3 2 1>
   44    0 0xffffff7f84a55000 0xd000     0xd000     org.acidanthera.NVMeFix (1.0.2) 84F5936A-A3DA-3F56-BB1D-FC41EDAB8D53 <42 8 6 5 3 2 1>
   45    0 0xffffff7f84a62000 0xc000     0xc000     as.lvs1974.HibernationFixup (1.3.2) 49884940-7094-314A-AB78-6F71BCD20BBB <42 8 6 5 3 2 1>
   46    2 0xffffff7f849a3000 0x19000    0x19000    as.vit9696.VirtualSMC (1.1.2) 8094C9C0-73C6-39D7-AF2E-36C66263E10B <42 12 8 6 5 3 2 1>
   47    0 0xffffff7f84a38000 0xa000     0xa000     as.vit9696.SMCProcessor (1.1.2) F398533A-0206-3593-9DC2-2F5DA39AFE08 <46 42 12 8 6 5 3 2 1>
   48    2 0xffffff7f816a6000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 3DF687C6-22D2-3F0D-A9EC-F5B1226819A8 <5 1>
   49    2 0xffffff7f816ab000 0x5a000    0x5a000    com.apple.security.sandbox (300.0) 5DEE587B-CA6F-3F23-A086-2858D35132B6 <48 28 21 8 7 6 5 3 2 1>
